conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text
1987427645706109044,Sun Nov 09 08:47:27 +0000 2025,3,@cacilkedua klo berdasarkan bnyk review yg udah aku pelajari bagusan anker! ugreen emg lebih cepet ngisinya tp bikin hp lebih cepet panas + lebih murah dari anker. aku 3 tahun pake anker &amp; ga pernah panas meskipun ngecharge sambil dipake,1987441896130756998,,cacilkedua,in,,0,2,0,https://x.com/undefined/status/1987441896130756998,2892749082,,klo berdasarkan bnyk review yg udah aku pelajari bagusan anker ugreen emg lebih cepet ngisinya tp bikin hp lebih cepet panas lebih murah dari anker aku tahun pake anker amp ga pernah panas meskipun ngecharge sambil dipake
1986307612669837598,Sun Nov 09 07:02:39 +0000 2025,1,@mmmaaaazzzday_ @tanyakanrl @bliblidotcom Kalau di Jabodetabek dari https://t.co/b1Pc47TInV ada pengiriman same day. Secara kurir biasanya pakai kurir yang sudah kerjasama langsung dengan Samsung. Di @bliblidotcom ada 2 jam pasti sampai pakai kurir yang kerjasama juga. Kalau secara spek ga terlalu jauh beda.,1987415522737308154,,mmmaaaazzzday_,in,,0,1,0,https://x.com/undefined/status/1987415522737308154,39198590,,kalau di jabodetabek dari ada pengiriman same day secara kurir biasanya pakai kurir yang sudah kerjasama langsung dengan samsung di ada jam pasti sampai pakai kurir yang kerjasama juga kalau secara spek ga terlalu jauh beda
1987207272347361734,Sat Nov 08 17:31:22 +0000 2025,1,@tanyakanrl aku pake redmi note 11 dan kalo foto2 slalu pake gcam kak wkwk tapi kalo video masih berusaha nerima spek dari hp ini btw sorry oot ada yg bs dititipin menfess ga ya?:(,1987211353967501445,,tanyakanrl,in,,1,2,0,https://x.com/undefined/status/1987211353967501445,1133213025597419520,,aku pake redmi note dan kalo foto slalu pake gcam kak wkwk tapi kalo video masih berusaha nerima spek dari hp ini btw sorry oot ada yg bs dititipin menfess ga ya
1987185499698573324,Sat Nov 08 15:48:37 +0000 2025,6,Um! Temenku udh kerja 2 hari lalu ngechat aku pinjem duit 100k yg bahkan uang hidupku ngerantau kuliah disini aja 150k/minggu.. trs katanya bakal dibalikin 2 hari kedepan gt.. eh hari ini tbtb live tiktok unboxing iphone.. (ini ke 2x nya dia chat pinjen duit),1987185499698573324,,,in,,0,1,0,https://x.com/undefined/status/1987185499698573324,3865555342,,um temenku udh kerja hari lalu ngechat aku pinjem duit k yg bahkan uang hidupku ngerantau kuliah disini aja k minggu trs katanya bakal dibalikin hari kedepan gt eh hari ini tbtb live tiktok unboxing iphone ini ke x nya dia chat pinjen duit
1987121347827540158,Sat Nov 08 11:33:43 +0000 2025,2,iPhone replacement yg korg patut tengok sebab lepas ni dh tak nak pakai Apple dah ! Unboxing Xiaomi 17 Pro Max 1TB Pengganti iPhone ! https://t.co/teuC77iyld,1987121351594017212,,fazlihalimmedia,in,,0,0,0,https://x.com/undefined/status/1987121351594017212,4613741420,,iphone replacement yg korg patut tengok sebab lepas ni dh tak nak pakai apple dah unboxing xiaomi pro max tb pengganti iphone
1986960700632408255,Sat Nov 08 06:51:38 +0000 2025,59,@poconxg okeh gue sebut - tas jims honey 4 - tas shan&amp;co 2 - barang2 ikea - bes cover spek hotel - laptop gaming - iPad 10gen - iPhone 15 - AC - jajanan yg wktu itu gaada duit - sepatu gemes - skincare &amp; bodycare tiap bulan - kacamata sendiri - vape + liq tiap bulan heheheheheheheh,1987050362164158490,,poconxg,in,,0,5,0,https://x.com/undefined/status/1987050362164158490,3178025202,,okeh gue sebut tas jims honey tas shan amp co barang ikea bes cover spek hotel laptop gaming ipad gen iphone ac jajanan yg wktu itu gaada duit sepatu gemes skincare amp bodycare tiap bulan kacamata sendiri vape liq tiap bulan heheheheheheheh
1987007813907009865,Sat Nov 08 04:02:34 +0000 2025,3,taik ada customer tanya segala macem spek hp gua tanya budgetnya berapa biar nyesuaikan tau ga jawabannya apa? masih nabung mas please masalahnya lo hampir sejam di mari semua brand lo pegang tau² cuma liak² doang kan ngapain ya selama itu arghh ,1987007813907009865,,,in,,0,1,0,https://x.com/undefined/status/1987007813907009865,1626826955265019904,,taik ada customer tanya segala macem spek hp gua tanya budgetnya berapa biar nyesuaikan tau ga jawabannya apa masih nabung mas please masalahnya lo hampir sejam di mari semua brand lo pegang tau cuma liak doang kan ngapain ya selama itu arghh
1986682702654066839,Sat Nov 08 03:36:07 +0000 2025,11,@kelincibercula2 @emilmarioo NGAKAKAK aku pernah ketemu juga di pim cakep bgt lebih cakep dari liat di hp dan emg sesuai review ini sampe kaget HAHAHA,1987001157093630277,,kelincibercula2,in,,0,0,0,https://x.com/undefined/status/1987001157093630277,1660458304311799809,,ngakakak aku pernah ketemu juga di pim cakep bgt lebih cakep dari liat di hp dan emg sesuai review ini sampe kaget hahaha
1986798353468821587,Fri Nov 07 14:31:02 +0000 2025,6,@tanyakanrl Uda nontonin video2 review HP kan di youtube? Catat plus minusnya apa dr tiap HP apa yg kamu suka n gak suka dr tiap HP. Ke konter HP coba pegang langsung barangnya scr fisik kamu lebih suka yg mana.,1986803586647675248,,tanyakanrl,in,,0,0,0,https://x.com/undefined/status/1986803586647675248,1636904727958138881,,uda nontonin video review hp kan di youtube catat plus minusnya apa dr tiap hp apa yg kamu suka n gak suka dr tiap hp ke konter hp coba pegang langsung barangnya scr fisik kamu lebih suka yg mana
1986669342218703266,Fri Nov 07 05:37:36 +0000 2025,6,Gak nyangka udah di tahap nge tes spek hp make gim lads https://t.co/z5svt97qY8,1986669342218703266,https://pbs.twimg.com/media/G5IRO6pacAAOp1a.jpg,,in,,0,6,0,https://x.com/undefined/status/1986669342218703266,1813808262359515136,,gak nyangka udah di tahap nge tes spek hp make gim lads
